Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
K.G.F: Chapter 2,"Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty",141392,"Action, Crime, Drama","6,604,562",-,Not Rated,Action, Crime, Drama,Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty
Vikram,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain",65062,"Action, Crime, Thriller",,-,UA,Action, Crime, Thriller,Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain
Shershaah,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri",125760,"Action, Biography, Drama",,-,TV-14,Action, Biography, Drama,Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri
Raatchasan,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan",47611,"Action, Crime, Drama",,-,Not Rated,Action, Crime, Drama,Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan
Batman Begins,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",1521267,"Action, Crime, Drama","206,852,432",91,PG-13,Action, Crime, Drama,Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson
Spider-Man: No Way Home,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",818848,"Action, Adventure, Fantasy","804,747,988",122,PG-13,Action, Adventure, Fantasy,Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon
Indiana Jones and the Last Crusade,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott",786586,"Action, Adventure","197,171,806",159,PG-13,Action, Adventure,,Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott
Jurassic Park,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",1026115,"Action, Adventure, Sci-Fi","402,453,882",198,PG-13,Action, Adventure, Sci-Fi,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough
1917,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",633384,"Action, Drama, War","159,227,644",271,R,Action, Drama, War,Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth
Kill Bill: Vol. 1,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",1150684,"Action, Crime, Thriller","70,099,045",443,R,Action, Crime, Thriller,Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen
Die Hard,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",907980,"Action, Thriller","83,008,852",508,R,Action, Thriller,,Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson
V for Vendetta,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea",1148200,"Action, Drama, Sci-Fi","70,511,035",802,R,Action, Drama, Sci-Fi,Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea
Ran,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû",130730,"Action, Drama, War","4,135,750",2406,R,Action, Drama, War,Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû
Demon Slayer the Movie: Mugen Train,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono",66542,"Animation, Action, Adventure","47,700,000",3108,R,Animation, Action, Adventure,Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono
